epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,17019.261313,17018.453125,22154.562500,17018.453125,22154.562500,0.000000,6.163,2025-11-21T08:52:16+00:00,,
1,val,16819.177602,16817.451172,21986.119141,16817.451172,21986.119141,0.000000,,2025-11-21T08:52:16+00:00,16819.177602,16817.451172
2,train,16863.058779,16862.513672,22028.919922,16862.513672,22028.919922,0.000000,5.701,2025-11-21T08:52:22+00:00,,
2,val,16622.264516,16620.478516,21825.621094,16620.478516,21825.621094,0.000000,,2025-11-21T08:52:22+00:00,16622.264516,16620.478516
3,train,16633.897457,16637.250000,21845.167969,16637.250000,21845.167969,0.000000,5.707,2025-11-21T08:52:28+00:00,,
3,val,16374.533408,16372.731445,21618.138672,16372.731445,21618.138672,0.000000,,2025-11-21T08:52:28+00:00,16374.533408,16372.731445
4,train,16365.387758,16366.496094,21623.703125,16366.496094,21623.703125,0.000000,5.701,2025-11-21T08:52:33+00:00,,
4,val,16102.098440,16100.157227,21392.216797,16100.157227,21392.216797,0.000000,,2025-11-21T08:52:33+00:00,16102.098440,16100.157227
5,train,16052.233148,16052.410156,21365.341797,16052.410156,21365.341797,0.000000,5.603,2025-11-21T08:52:39+00:00,,
5,val,15764.276825,15762.406250,21112.507812,15762.406250,21112.507812,0.000000,,2025-11-21T08:52:39+00:00,15764.276825,15762.406250
6,train,15690.293349,15690.824219,21061.185547,15690.824219,21061.185547,0.000000,5.800,2025-11-21T08:52:45+00:00,,
6,val,15398.572688,15396.565430,20792.482422,15396.565430,20792.482422,0.000000,,2025-11-21T08:52:45+00:00,15398.572688,15396.565430
7,train,15278.048885,15279.330078,20711.556641,15279.330078,20711.556641,0.000000,5.634,2025-11-21T08:52:50+00:00,,
7,val,14964.805387,14962.822266,20406.980469,14962.822266,20406.980469,0.000000,,2025-11-21T08:52:50+00:00,14964.805387,14962.822266
8,train,14819.068154,14819.520508,20316.781250,14819.520508,20316.781250,0.000000,5.724,2025-11-21T08:52:56+00:00,,
8,val,14518.796766,14516.673828,20028.906250,14516.673828,20028.906250,0.000000,,2025-11-21T08:52:56+00:00,14518.796766,14516.673828
9,train,14250.666710,14253.972656,19857.953125,14253.972656,19857.953125,0.000000,5.655,2025-11-21T08:53:02+00:00,,
9,val,13897.409722,13895.204102,19503.537109,13895.204102,19503.537109,0.000000,,2025-11-21T08:53:02+00:00,13897.409722,13895.204102
10,train,13637.622874,13640.695312,19301.292969,13640.695312,19301.292969,0.000000,5.742,2025-11-21T08:53:07+00:00,,
10,val,13333.249650,13330.559570,18948.427734,13330.559570,18948.427734,0.000000,,2025-11-21T08:53:07+00:00,13333.249650,13330.559570
11,train,12982.702245,12985.073242,18662.724609,12985.073242,18662.724609,0.000000,5.751,2025-11-21T08:53:13+00:00,,
11,val,12692.118224,12689.739258,18278.611328,12689.739258,18278.611328,0.000000,,2025-11-21T08:53:13+00:00,12692.118224,12689.739258
12,train,12252.127371,12250.798828,17922.726562,12250.798828,17922.726562,0.000000,5.578,2025-11-21T08:53:19+00:00,,
12,val,12077.717834,12075.002930,17629.328125,12075.002930,17629.328125,0.000000,,2025-11-21T08:53:19+00:00,12077.717834,12075.002930
13,train,11491.994670,11492.065430,17131.105469,11492.065430,17131.105469,0.000000,5.712,2025-11-21T08:53:24+00:00,,
13,val,11301.278995,11298.740234,16817.800781,11298.740234,16817.800781,0.000000,,2025-11-21T08:53:24+00:00,11301.278995,11298.740234
14,train,10663.882332,10663.867188,16173.909180,10663.867188,16173.909180,0.000000,5.821,2025-11-21T08:53:30+00:00,,
14,val,10459.250820,10456.791016,15790.970703,10456.791016,15790.970703,0.000000,,2025-11-21T08:53:30+00:00,10459.250820,10456.791016
15,train,9787.683285,9787.148438,15182.977539,9787.148438,15182.977539,0.000000,5.731,2025-11-21T08:53:36+00:00,,
15,val,9662.899679,9660.122070,14902.469727,9660.122070,14902.469727,0.000000,,2025-11-21T08:53:36+00:00,9662.899679,9660.122070
16,train,8871.444059,8873.412109,14100.852539,8873.412109,14100.852539,0.000000,5.653,2025-11-21T08:53:42+00:00,,
16,val,8638.864891,8635.978516,13621.376953,8635.978516,13621.376953,0.000000,,2025-11-21T08:53:42+00:00,8638.864891,8635.978516
17,train,7911.048492,7911.012695,12900.487305,7911.012695,12900.487305,0.000000,5.792,2025-11-21T08:53:47+00:00,,
17,val,7728.151928,7725.456055,12368.612305,7725.456055,12368.612305,0.000000,,2025-11-21T08:53:47+00:00,7728.151928,7725.456055
18,train,6934.523081,6935.528320,11619.060547,6935.528320,11619.060547,0.000000,5.711,2025-11-21T08:53:53+00:00,,
18,val,6858.531135,6855.337402,11246.927734,6855.337402,11246.927734,0.000000,,2025-11-21T08:53:53+00:00,6858.531135,6855.337402
19,train,5978.746683,5978.312500,10300.565430,5978.312500,10300.565430,0.000000,5.547,2025-11-21T08:53:59+00:00,,
19,val,6107.006522,6103.087891,10270.209961,6103.087891,10270.209961,0.000000,,2025-11-21T08:53:59+00:00,6107.006522,6103.087891
20,train,4930.407759,4929.811035,8793.714844,4929.811035,8793.714844,0.000000,5.836,2025-11-21T08:54:05+00:00,,
20,val,4931.476291,4928.168945,8625.657227,4928.168945,8625.657227,0.000000,,2025-11-21T08:54:05+00:00,4931.476291,4928.168945
21,train,3731.778577,3732.820557,7071.731934,3732.820557,7071.731934,0.000000,5.632,2025-11-21T08:54:10+00:00,,
21,val,3859.364511,3856.571533,7307.116699,3856.571533,7307.116699,0.000000,,2025-11-21T08:54:10+00:00,3859.364511,3856.571533
22,train,3050.675841,3051.083740,5936.367188,3051.083740,5936.367188,0.000000,5.653,2025-11-21T08:54:16+00:00,,
22,val,3353.025110,3350.693848,6676.674805,3350.693848,6676.674805,0.000000,,2025-11-21T08:54:16+00:00,3353.025110,3350.693848
23,train,2630.900810,2630.964355,5159.661621,2630.964355,5159.661621,0.000000,5.696,2025-11-21T08:54:22+00:00,,
23,val,3041.947663,3039.800049,6146.616699,3039.800049,6146.616699,0.000000,,2025-11-21T08:54:22+00:00,3041.947663,3039.800049
24,train,2416.375343,2415.272461,4716.256348,2415.272461,4716.256348,0.000000,5.686,2025-11-21T08:54:27+00:00,,
24,val,2915.363622,2913.398682,5963.978516,2913.398682,5963.978516,0.000000,,2025-11-21T08:54:27+00:00,2915.363622,2913.398682
25,train,2289.095092,2288.456299,4449.624023,2288.456299,4449.624023,0.000000,5.609,2025-11-21T08:54:33+00:00,,
25,val,2840.666546,2838.408691,5845.755859,2838.408691,5845.755859,0.000000,,2025-11-21T08:54:33+00:00,2840.666546,2838.408691
26,train,2210.528256,2210.175049,4295.829590,2210.175049,4295.829590,0.000000,5.725,2025-11-21T08:54:39+00:00,,
