epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,17004.356129,17003.451172,22139.320312,17003.451172,22139.320312,0.000000,6.872,2025-11-20T19:15:35+00:00,,
1,val,16838.300058,16826.587891,21926.511719,16826.587891,21926.511719,0.000000,,2025-11-20T19:15:35+00:00,16838.300058,16826.587891
2,train,16853.339975,16851.210938,22014.589844,16851.210938,22014.589844,0.000000,6.224,2025-11-20T19:15:41+00:00,,
2,val,16651.035132,16639.341797,21770.347656,16639.341797,21770.347656,0.000000,,2025-11-20T19:15:41+00:00,16651.035132,16639.341797
3,train,16635.242398,16631.539062,21833.972656,16631.539062,21833.972656,0.000000,6.384,2025-11-20T19:15:48+00:00,,
3,val,16410.074412,16398.414062,21575.410156,16398.414062,21575.410156,0.000000,,2025-11-20T19:15:48+00:00,16410.074412,16398.414062
4,train,16361.565698,16366.006836,21616.951172,16366.006836,21616.951172,0.000000,6.496,2025-11-20T19:15:54+00:00,,
4,val,16123.222861,16111.594727,21331.468750,16111.594727,21331.468750,0.000000,,2025-11-20T19:15:54+00:00,16123.222861,16111.594727
5,train,16056.014913,16054.295898,21360.310547,16054.295898,21360.310547,0.000000,6.363,2025-11-20T19:16:01+00:00,,
5,val,15823.454825,15811.857422,21086.873047,15811.857422,21086.873047,0.000000,,2025-11-20T19:16:01+00:00,15823.454825,15811.857422
6,train,15668.902330,15671.657227,21060.138672,15671.657227,21060.138672,0.000000,6.470,2025-11-20T19:16:07+00:00,,
6,val,15405.357663,15393.683594,20744.003906,15393.683594,20744.003906,0.000000,,2025-11-20T19:16:07+00:00,15405.357663,15393.683594
7,train,15254.948349,15257.950195,20713.345703,15257.950195,20713.345703,0.000000,6.433,2025-11-20T19:16:13+00:00,,
7,val,14984.353769,14972.737305,20361.765625,14972.737305,20361.765625,0.000000,,2025-11-20T19:16:13+00:00,14984.353769,14972.737305
8,train,14781.107958,14784.015625,20304.968750,14784.015625,20304.968750,0.000000,6.337,2025-11-20T19:16:20+00:00,,
8,val,14524.796260,14513.351562,19957.783203,14513.351562,19957.783203,0.000000,,2025-11-20T19:16:20+00:00,14524.796260,14513.351562
