epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,10049.999550,10060.384766,15171.055664,10060.384766,15171.055664,0.000000,8.325,2025-11-22T15:02:13+00:00,,
1,val,4300.558239,4299.647949,7184.623535,4299.647949,7184.623535,0.000000,,2025-11-22T15:02:13+00:00,4300.558239,4299.647949
2,train,4289.718232,4290.381836,7106.449219,4290.381836,7106.449219,0.000000,8.195,2025-11-22T15:02:22+00:00,,
2,val,3859.242291,3857.794922,6760.187500,3857.794922,6760.187500,0.000000,,2025-11-22T15:02:22+00:00,3859.242291,3857.794922
3,train,4115.843030,4115.956055,6922.938477,4115.956055,6922.938477,0.000000,7.719,2025-11-22T15:02:29+00:00,,
3,val,3767.612135,3765.947754,6655.536621,3765.947754,6655.536621,0.000000,,2025-11-22T15:02:29+00:00,3767.612135,3765.947754
4,train,4038.354759,4038.685547,6825.933105,4038.685547,6825.933105,0.000000,7.880,2025-11-22T15:02:37+00:00,,
4,val,3663.520819,3662.256836,6548.906250,3662.256836,6548.906250,0.000000,,2025-11-22T15:02:37+00:00,3663.520819,3662.256836
5,train,3948.692114,3948.731689,6716.094727,3948.731689,6716.094727,0.000000,7.960,2025-11-22T15:02:45+00:00,,
5,val,3584.663892,3583.767822,6439.806152,3583.767822,6439.806152,0.000000,,2025-11-22T15:02:45+00:00,3584.663892,3583.767822
6,train,3881.961569,3882.988037,6624.899902,3882.988037,6624.899902,0.000000,7.930,2025-11-22T15:02:53+00:00,,
6,val,3480.345326,3479.764648,6342.724609,3479.764648,6342.724609,0.000000,,2025-11-22T15:02:53+00:00,3480.345326,3479.764648
7,train,3818.472145,3819.167725,6536.185547,3819.167725,6536.185547,0.000000,7.808,2025-11-22T15:03:01+00:00,,
7,val,3437.064054,3436.654297,6265.290527,3436.654297,6265.290527,0.000000,,2025-11-22T15:03:01+00:00,3437.064054,3436.654297
8,train,3777.512222,3778.027832,6480.636230,3778.027832,6480.636230,0.000000,7.922,2025-11-22T15:03:09+00:00,,
8,val,3368.980254,3368.752441,6189.201660,3368.752441,6189.201660,0.000000,,2025-11-22T15:03:09+00:00,3368.980254,3368.752441
9,train,3739.098039,3739.930908,6413.764648,3739.930908,6413.764648,0.000000,8.115,2025-11-22T15:03:17+00:00,,
9,val,3352.174479,3351.627686,6129.040527,3351.627686,6129.040527,0.000000,,2025-11-22T15:03:17+00:00,3352.174479,3351.627686
10,train,3705.164289,3705.227783,6365.336914,3705.227783,6365.336914,0.000000,7.680,2025-11-22T15:03:25+00:00,,
10,val,3328.239591,3327.865723,6086.149414,3327.865723,6086.149414,0.000000,,2025-11-22T15:03:25+00:00,3328.239591,3327.865723
11,train,3684.105682,3685.159180,6325.921387,3685.159180,6325.921387,0.000000,7.791,2025-11-22T15:03:32+00:00,,
11,val,3279.322206,3279.659912,6055.666016,3279.659912,6055.666016,0.000000,,2025-11-22T15:03:32+00:00,3279.322206,3279.659912
12,train,3664.308310,3664.968506,6289.481934,3664.968506,6289.481934,0.000000,7.924,2025-11-22T15:03:40+00:00,,
12,val,3275.443219,3275.468506,6014.365723,3275.468506,6014.365723,0.000000,,2025-11-22T15:03:40+00:00,3275.443219,3275.468506
13,train,3627.894424,3627.896729,6232.907227,3627.896729,6232.907227,0.000000,7.972,2025-11-22T15:03:48+00:00,,
13,val,3242.696282,3242.639404,5936.759277,3242.639404,5936.759277,0.000000,,2025-11-22T15:03:48+00:00,3242.696282,3242.639404
14,train,3608.966402,3609.183838,6200.367188,3609.183838,6200.367188,0.000000,7.875,2025-11-22T15:03:56+00:00,,
14,val,3263.859249,3264.693604,5937.026855,3264.693604,5937.026855,0.000000,,2025-11-22T15:03:56+00:00,3263.859249,3264.693604
15,train,3588.691177,3589.472412,6163.780762,3589.472412,6163.780762,0.000000,7.764,2025-11-22T15:04:04+00:00,,
15,val,3214.536961,3215.626709,5905.104004,3215.626709,5905.104004,0.000000,,2025-11-22T15:04:04+00:00,3214.536961,3215.626709
16,train,3580.292591,3580.657227,6131.038086,3580.657227,6131.038086,0.000000,7.901,2025-11-22T15:04:12+00:00,,
16,val,3178.701379,3178.450928,5855.280762,3178.450928,5855.280762,0.000000,,2025-11-22T15:04:12+00:00,3178.701379,3178.450928
17,train,3572.852657,3572.263916,6102.438477,3572.263916,6102.438477,0.000000,7.848,2025-11-22T15:04:20+00:00,,
17,val,3135.695816,3136.260254,5837.810059,3136.260254,5837.810059,0.000000,,2025-11-22T15:04:20+00:00,3135.695816,3136.260254
18,train,3544.638941,3545.479736,6082.037598,3545.479736,6082.037598,0.000000,7.817,2025-11-22T15:04:28+00:00,,
18,val,3168.287050,3168.862549,5795.901855,3168.862549,5795.901855,0.000000,,2025-11-22T15:04:28+00:00,3168.287050,3168.862549
19,train,3543.672239,3544.117920,6061.779297,3544.117920,6061.779297,0.000000,7.890,2025-11-22T15:04:35+00:00,,
19,val,3119.200188,3119.690430,5767.496582,3119.690430,5767.496582,0.000000,,2025-11-22T15:04:35+00:00,3119.200188,3119.690430
20,train,3531.543233,3531.093262,6040.434082,3531.093262,6040.434082,0.000000,7.909,2025-11-22T15:04:43+00:00,,
20,val,3111.065097,3111.003418,5783.693848,3111.003418,5783.693848,0.000000,,2025-11-22T15:04:43+00:00,3111.065097,3111.003418
21,train,3514.336990,3515.398682,6010.022461,3515.398682,6010.022461,0.000000,7.924,2025-11-22T15:04:51+00:00,,
21,val,3140.551765,3141.393799,5752.369629,3141.393799,5752.369629,0.000000,,2025-11-22T15:04:51+00:00,3140.551765,3141.393799
22,train,3506.975353,3507.461914,5996.265625,3507.461914,5996.265625,0.000000,7.908,2025-11-22T15:04:59+00:00,,
22,val,3098.492380,3099.218506,5708.869629,3099.218506,5708.869629,0.000000,,2025-11-22T15:04:59+00:00,3098.492380,3099.218506
23,train,3495.074935,3495.252441,5966.615234,3495.252441,5966.615234,0.000000,7.923,2025-11-22T15:05:07+00:00,,
23,val,3084.978301,3086.541748,5687.149414,3086.541748,5687.149414,0.000000,,2025-11-22T15:05:07+00:00,3084.978301,3086.541748
24,train,3484.329494,3485.503174,5959.629883,3485.503174,5959.629883,0.000000,7.947,2025-11-22T15:05:15+00:00,,
24,val,3094.153513,3093.958252,5687.644531,3093.958252,5687.644531,0.000000,,2025-11-22T15:05:15+00:00,3094.153513,3093.958252
25,train,3470.817195,3471.440430,5914.889648,3471.440430,5914.889648,0.000000,7.876,2025-11-22T15:05:23+00:00,,
