epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,17029.415907,17031.097656,22160.923828,17031.097656,22160.923828,0.000000,9.708,2025-11-20T16:07:45+00:00,,
1,val,16873.168342,16871.966797,22022.539062,16871.966797,22022.539062,0.000000,,2025-11-20T16:07:45+00:00,16873.168342,16871.966797
2,train,16989.877925,16988.765625,22122.021484,16988.765625,22122.021484,0.000000,9.420,2025-11-20T16:07:54+00:00,,
2,val,16831.305531,16830.105469,21984.056641,16830.105469,21984.056641,0.000000,,2025-11-20T16:07:54+00:00,16831.305531,16830.105469
3,train,16946.151722,16947.017578,22083.529297,16947.017578,22083.529297,0.000000,9.243,2025-11-20T16:08:04+00:00,,
3,val,16789.854866,16788.658203,21945.726562,16788.658203,21945.726562,0.000000,,2025-11-20T16:08:04+00:00,16789.854866,16788.658203
4,train,16903.507278,16905.521484,22045.142578,16905.521484,22045.142578,0.000000,9.476,2025-11-20T16:08:13+00:00,,
4,val,16748.619587,16747.423828,21907.500000,16747.423828,21907.500000,0.000000,,2025-11-20T16:08:13+00:00,16748.619587,16747.423828
5,train,16861.655248,16864.285156,22006.841797,16864.285156,22006.841797,0.000000,9.379,2025-11-20T16:08:22+00:00,,
5,val,16707.655177,16706.464844,21869.375000,16706.464844,21869.375000,0.000000,,2025-11-20T16:08:22+00:00,16707.655177,16706.464844
6,train,16822.029452,16823.302734,21968.630859,16823.302734,21968.630859,0.000000,9.248,2025-11-20T16:08:32+00:00,,
6,val,16666.919922,16665.732422,21831.302734,16665.732422,21831.302734,0.000000,,2025-11-20T16:08:32+00:00,16666.919922,16665.732422
7,train,16783.773626,16782.519531,21930.478516,16782.519531,21930.478516,0.000000,9.450,2025-11-20T16:08:41+00:00,,
7,val,16626.443830,16625.259766,21793.298828,16625.259766,21793.298828,0.000000,,2025-11-20T16:08:41+00:00,16626.443830,16625.259766
8,train,16740.301715,16742.005859,21892.447266,16742.005859,21892.447266,0.000000,9.494,2025-11-20T16:08:51+00:00,,
8,val,16586.200774,16585.025391,21755.398438,16585.025391,21755.398438,0.000000,,2025-11-20T16:08:51+00:00,16586.200774,16585.025391
9,train,16700.346203,16701.650391,21854.421875,16701.650391,21854.421875,0.000000,9.446,2025-11-20T16:09:00+00:00,,
9,val,16546.060016,16544.890625,21717.498047,16544.890625,21717.498047,0.000000,,2025-11-20T16:09:00+00:00,16546.060016,16544.890625
10,train,16661.152238,16661.453125,21816.486328,16661.453125,21816.486328,0.000000,9.471,2025-11-20T16:09:09+00:00,,
10,val,16506.078909,16504.916016,21679.662109,16504.916016,21679.662109,0.000000,,2025-11-20T16:09:09+00:00,16506.078909,16504.916016
11,train,16621.436307,16621.457031,21778.554688,16621.457031,21778.554688,0.000000,9.475,2025-11-20T16:09:19+00:00,,
11,val,16466.500892,16465.343750,21641.951172,16465.343750,21641.951172,0.000000,,2025-11-20T16:09:19+00:00,16466.500892,16465.343750
12,train,16579.471732,16581.832031,21740.839844,16581.832031,21740.839844,0.000000,9.524,2025-11-20T16:09:28+00:00,,
12,val,16427.355758,16426.205078,21604.664062,16426.205078,21604.664062,0.000000,,2025-11-20T16:09:28+00:00,16427.355758,16426.205078
13,train,16540.032351,16542.833984,21703.826172,16542.833984,21703.826172,0.000000,9.423,2025-11-20T16:09:38+00:00,,
13,val,16388.662652,16387.517578,21567.861328,16387.517578,21567.861328,0.000000,,2025-11-20T16:09:38+00:00,16388.662652,16387.517578
14,train,16504.443695,16504.232422,21667.031250,16504.232422,21667.031250,0.000000,9.432,2025-11-20T16:09:47+00:00,,
14,val,16350.443130,16349.300781,21531.484375,16349.300781,21531.484375,0.000000,,2025-11-20T16:09:47+00:00,16350.443130,16349.300781
15,train,16464.836501,16466.091797,21630.781250,16466.091797,21630.781250,0.000000,9.293,2025-11-20T16:09:57+00:00,,
15,val,16312.826304,16311.685547,21495.539062,16311.685547,21495.539062,0.000000,,2025-11-20T16:09:57+00:00,16312.826304,16311.685547
16,train,16426.283649,16428.417969,21594.849609,16428.417969,21594.849609,0.000000,9.461,2025-11-20T16:10:06+00:00,,
16,val,16275.440273,16274.303711,21459.818359,16274.303711,21459.818359,0.000000,,2025-11-20T16:10:06+00:00,16275.440273,16274.303711
17,train,16391.680388,16390.681641,21558.837891,16390.681641,21558.837891,0.000000,9.530,2025-11-20T16:10:16+00:00,,
17,val,16237.714277,16236.580078,21423.724609,16236.580078,21423.724609,0.000000,,2025-11-20T16:10:16+00:00,16237.714277,16236.580078
18,train,16352.510097,16352.823242,21522.753906,16352.823242,21522.753906,0.000000,9.473,2025-11-20T16:10:25+00:00,,
18,val,16200.374699,16199.244141,21388.007812,16199.244141,21388.007812,0.000000,,2025-11-20T16:10:25+00:00,16200.374699,16199.244141
19,train,16312.644232,16315.400391,21487.001953,16315.400391,21487.001953,0.000000,9.571,2025-11-20T16:10:35+00:00,,
19,val,16163.086299,16161.959961,21352.345703,16161.959961,21352.345703,0.000000,,2025-11-20T16:10:35+00:00,16163.086299,16161.959961
20,train,16278.909802,16278.091797,21451.304688,16278.091797,21451.304688,0.000000,9.591,2025-11-20T16:10:44+00:00,,
20,val,16126.118984,16124.996094,21316.876953,16124.996094,21316.876953,0.000000,,2025-11-20T16:10:44+00:00,16126.118984,16124.996094
21,train,16239.846711,16240.902344,21415.738281,16240.902344,21415.738281,0.000000,9.428,2025-11-20T16:10:54+00:00,,
21,val,16089.219871,16088.098633,21281.556641,16088.098633,21281.556641,0.000000,,2025-11-20T16:10:54+00:00,16089.219871,16088.098633
22,train,16203.880116,16204.121094,21380.453125,16204.121094,21380.453125,0.000000,9.486,2025-11-20T16:11:03+00:00,,
22,val,16052.741850,16051.625977,21246.464844,16051.625977,21246.464844,0.000000,,2025-11-20T16:11:03+00:00,16052.741850,16051.625977
23,train,16167.471891,16167.367188,21345.041016,16167.367188,21345.041016,0.000000,9.638,2025-11-20T16:11:13+00:00,,
23,val,16016.049226,16014.938477,21211.103516,16014.938477,21211.103516,0.000000,,2025-11-20T16:11:13+00:00,16016.049226,16014.938477
24,train,16133.029506,16130.977539,21310.156250,16130.977539,21310.156250,0.000000,9.545,2025-11-20T16:11:22+00:00,,
24,val,15979.736449,15978.626953,21176.208984,15978.626953,21176.208984,0.000000,,2025-11-20T16:11:22+00:00,15979.736449,15978.626953
25,train,16095.880930,16094.295898,21274.992188,16094.295898,21274.992188,0.000000,9.447,2025-11-20T16:11:32+00:00,,
25,val,15943.832284,15942.730469,21141.533203,15942.730469,21141.533203,0.000000,,2025-11-20T16:11:32+00:00,15943.832284,15942.730469
26,train,16057.673177,16058.005859,21240.113281,16058.005859,21240.113281,0.000000,9.552,2025-11-20T16:11:41+00:00,,
26,val,15908.082694,15906.984375,21107.195312,15906.984375,21107.195312,0.000000,,2025-11-20T16:11:41+00:00,15908.082694,15906.984375
27,train,16022.566819,16022.275391,21205.791016,16022.275391,21205.791016,0.000000,9.334,2025-11-20T16:11:51+00:00,,
27,val,15871.841459,15870.747070,21072.458984,15870.747070,21072.458984,0.000000,,2025-11-20T16:11:51+00:00,15871.841459,15870.747070
28,train,15984.805308,15986.210938,21171.199219,15986.210938,21171.199219,0.000000,9.321,2025-11-20T16:12:00+00:00,,
28,val,15836.374060,15835.284180,21038.384766,15835.284180,21038.384766,0.000000,,2025-11-20T16:12:00+00:00,15836.374060,15835.284180
29,train,15949.772350,15950.957031,21137.287109,15950.957031,21137.287109,0.000000,9.501,2025-11-20T16:12:10+00:00,,
29,val,15801.068697,15799.985352,21004.373047,15799.985352,21004.373047,0.000000,,2025-11-20T16:12:10+00:00,15801.068697,15799.985352
30,train,15914.760943,15915.278320,21103.132812,15915.278320,21103.132812,0.000000,9.485,2025-11-20T16:12:19+00:00,,
30,val,15765.749023,15764.671875,20970.195312,15764.671875,20970.195312,0.000000,,2025-11-20T16:12:19+00:00,15765.749023,15764.671875
31,train,15876.473735,15879.148438,21068.458984,15879.148438,21068.458984,0.000000,9.447,2025-11-20T16:12:28+00:00,,
31,val,15729.694794,15728.621094,20935.962891,15728.621094,20935.962891,0.000000,,2025-11-20T16:12:28+00:00,15729.694794,15728.621094
32,train,15847.531578,15843.848633,21034.574219,15843.848633,21034.574219,0.000000,9.275,2025-11-20T16:12:38+00:00,,
32,val,15695.466905,15694.399414,20902.781250,15694.399414,20902.781250,0.000000,,2025-11-20T16:12:38+00:00,15695.466905,15694.399414
33,train,15809.543090,15809.083008,21001.039062,15809.083008,21001.039062,0.000000,9.690,2025-11-20T16:12:47+00:00,,
33,val,15660.983917,15659.920898,20869.541016,15659.920898,20869.541016,0.000000,,2025-11-20T16:12:47+00:00,15660.983917,15659.920898
34,train,15771.562678,15775.013672,20968.181641,15775.013672,20968.181641,0.000000,9.552,2025-11-20T16:12:57+00:00,,
34,val,15626.914038,15625.857422,20836.591797,15625.857422,20836.591797,0.000000,,2025-11-20T16:12:57+00:00,15626.914038,15625.857422
35,train,15737.345285,15740.600586,20935.134766,15740.600586,20935.134766,0.000000,9.523,2025-11-20T16:13:07+00:00,,
35,val,15593.071000,15592.020508,20803.894531,15592.020508,20803.894531,0.000000,,2025-11-20T16:13:07+00:00,15593.071000,15592.020508
