[env] host=stud-000 date=Sat Nov 22 21:04:37 CET 2025
[env] RUN_DIR=/home/canelo/uncertainty_quantification/outputs/trainings/training_base_point_2_20251122-1307/base_point_s3_20251122-210436_284574
[model] in_dim=4768 hidden=[768, 384, 192] head=point params=4,032,001
[train] host=stud-000 device=cuda head=point epochs=200
[epoch 1] train_loss=7685.5386 val_loss=3790.7822 val_mae_orig=3791.3994 obj(val_mae_orig)=3791.3994
[epoch 2] train_loss=3842.6496 val_loss=3547.0273 val_mae_orig=3547.7676 obj(val_mae_orig)=3547.7676
[epoch 3] train_loss=3637.0848 val_loss=3384.7667 val_mae_orig=3385.4390 obj(val_mae_orig)=3385.4390
[epoch 4] train_loss=3482.0331 val_loss=3227.8688 val_mae_orig=3228.4417 obj(val_mae_orig)=3228.4417
[epoch 5] train_loss=3356.6524 val_loss=3141.4857 val_mae_orig=3142.1255 obj(val_mae_orig)=3142.1255
[epoch 6] train_loss=3233.2505 val_loss=3011.9693 val_mae_orig=3012.8318 obj(val_mae_orig)=3012.8318
[epoch 7] train_loss=3129.1092 val_loss=2926.1246 val_mae_orig=2927.0815 obj(val_mae_orig)=2927.0815
[epoch 8] train_loss=3028.9325 val_loss=2857.5661 val_mae_orig=2858.4875 obj(val_mae_orig)=2858.4875
[epoch 9] train_loss=2937.2519 val_loss=2813.8026 val_mae_orig=2814.8469 obj(val_mae_orig)=2814.8469
[epoch 10] train_loss=2861.3860 val_loss=2743.1048 val_mae_orig=2744.3745 obj(val_mae_orig)=2744.3745
[epoch 11] train_loss=2799.4614 val_loss=2737.1106 val_mae_orig=2738.3857 obj(val_mae_orig)=2738.3857
[epoch 12] train_loss=2736.0778 val_loss=2659.2937 val_mae_orig=2660.4685 obj(val_mae_orig)=2660.4685
[epoch 13] train_loss=2676.6126 val_loss=2620.9715 val_mae_orig=2622.0813 obj(val_mae_orig)=2622.0813
[epoch 14] train_loss=2617.1955 val_loss=2574.6225 val_mae_orig=2575.8730 obj(val_mae_orig)=2575.8730
[epoch 15] train_loss=2576.9608 val_loss=2554.8927 val_mae_orig=2556.1641 obj(val_mae_orig)=2556.1641
[epoch 16] train_loss=2533.3610 val_loss=2531.5068 val_mae_orig=2532.7458 obj(val_mae_orig)=2532.7458
[epoch 17] train_loss=2492.9130 val_loss=2500.1082 val_mae_orig=2501.4338 obj(val_mae_orig)=2501.4338
[epoch 18] train_loss=2454.5011 val_loss=2498.1372 val_mae_orig=2499.2847 obj(val_mae_orig)=2499.2847
[epoch 19] train_loss=2422.0455 val_loss=2455.9000 val_mae_orig=2456.8276 obj(val_mae_orig)=2456.8276
[epoch 20] train_loss=2387.3083 val_loss=2467.6726 val_mae_orig=2468.6985 obj(val_mae_orig)=2468.6985
[epoch 21] train_loss=2355.2659 val_loss=2446.4079 val_mae_orig=2447.5916 obj(val_mae_orig)=2447.5916
[epoch 22] train_loss=2324.0346 val_loss=2422.4900 val_mae_orig=2423.5625 obj(val_mae_orig)=2423.5625
[epoch 23] train_loss=2290.8826 val_loss=2394.4502 val_mae_orig=2395.5959 obj(val_mae_orig)=2395.5959
[epoch 24] train_loss=2269.8006 val_loss=2405.0097 val_mae_orig=2406.0554 obj(val_mae_orig)=2406.0554
[epoch 25] train_loss=2246.5256 val_loss=2397.2010 val_mae_orig=2398.4326 obj(val_mae_orig)=2398.4326
[epoch 26] train_loss=2224.6345 val_loss=2379.5801 val_mae_orig=2380.7332 obj(val_mae_orig)=2380.7332
[epoch 27] train_loss=2197.0840 val_loss=2367.8715 val_mae_orig=2368.9792 obj(val_mae_orig)=2368.9792
[epoch 28] train_loss=2173.9190 val_loss=2355.7787 val_mae_orig=2356.7856 obj(val_mae_orig)=2356.7856
[epoch 29] train_loss=2157.5192 val_loss=2372.8673 val_mae_orig=2374.0652 obj(val_mae_orig)=2374.0652
[epoch 30] train_loss=2135.2255 val_loss=2339.0901 val_mae_orig=2340.3506 obj(val_mae_orig)=2340.3506
[epoch 31] train_loss=2118.0149 val_loss=2332.2447 val_mae_orig=2333.2292 obj(val_mae_orig)=2333.2292
[epoch 32] train_loss=2091.2051 val_loss=2369.3132 val_mae_orig=2370.2715 obj(val_mae_orig)=2370.2715
[epoch 33] train_loss=2078.1814 val_loss=2305.8475 val_mae_orig=2306.7874 obj(val_mae_orig)=2306.7874
