epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,7673.611548,7681.227051,12552.155273,7681.227051,12552.155273,0.000000,5.845,2025-11-22T20:05:01+00:00,,
1,val,3913.686478,3915.997070,6859.373535,3915.997070,6859.373535,0.000000,,2025-11-22T20:05:01+00:00,3913.686478,3915.997070
2,train,3828.351061,3830.501465,6671.460938,3830.501465,6671.460938,0.000000,4.679,2025-11-22T20:05:06+00:00,,
2,val,3671.047465,3672.958496,6600.352539,3672.958496,6600.352539,0.000000,,2025-11-22T20:05:06+00:00,3671.047465,3672.958496
3,train,3627.704857,3628.105957,6429.888184,3628.105957,6429.888184,0.000000,4.695,2025-11-22T20:05:11+00:00,,
3,val,3460.000056,3461.733643,6364.334473,3461.733643,6364.334473,0.000000,,2025-11-22T20:05:11+00:00,3460.000056,3461.733643
4,train,3474.060341,3473.461182,6226.765137,3473.461182,6226.765137,0.000000,4.563,2025-11-22T20:05:15+00:00,,
4,val,3325.890355,3327.626221,6175.643066,3327.626221,6175.643066,0.000000,,2025-11-22T20:05:15+00:00,3325.890355,3327.626221
5,train,3338.938540,3339.818115,6020.601562,3339.818115,6020.601562,0.000000,4.638,2025-11-22T20:05:20+00:00,,
5,val,3203.070174,3204.696533,5990.175781,3204.696533,5990.175781,0.000000,,2025-11-22T20:05:20+00:00,3203.070174,3204.696533
6,train,3228.278214,3230.166748,5844.111328,3230.166748,5844.111328,0.000000,4.648,2025-11-22T20:05:24+00:00,,
6,val,3108.027746,3109.614746,5824.279297,3109.614746,5824.279297,0.000000,,2025-11-22T20:05:24+00:00,3108.027746,3109.614746
7,train,3133.178607,3134.047607,5678.367676,3134.047607,5678.367676,0.000000,4.714,2025-11-22T20:05:29+00:00,,
7,val,3004.019039,3005.774414,5671.857422,3005.774414,5671.857422,0.000000,,2025-11-22T20:05:29+00:00,3004.019039,3005.774414
8,train,3039.790891,3041.331787,5511.816406,3041.331787,5511.816406,0.000000,4.732,2025-11-22T20:05:34+00:00,,
8,val,2928.873704,2930.461182,5518.000977,2930.461182,5518.000977,0.000000,,2025-11-22T20:05:34+00:00,2928.873704,2930.461182
9,train,2955.144246,2956.089111,5351.546875,2956.089111,5351.546875,0.000000,4.739,2025-11-22T20:05:39+00:00,,
9,val,2880.292334,2881.853760,5411.765137,2881.853760,5411.765137,0.000000,,2025-11-22T20:05:39+00:00,2880.292334,2881.853760
10,train,2879.261915,2880.492188,5218.221191,2880.492188,5218.221191,0.000000,4.683,2025-11-22T20:05:43+00:00,,
10,val,2791.883000,2793.273682,5295.401855,2793.273682,5295.401855,0.000000,,2025-11-22T20:05:43+00:00,2791.883000,2793.273682
11,train,2809.456096,2810.583740,5084.639648,2810.583740,5084.639648,0.000000,4.647,2025-11-22T20:05:48+00:00,,
11,val,2761.882674,2763.451172,5200.842285,2763.451172,5200.842285,0.000000,,2025-11-22T20:05:48+00:00,2761.882674,2763.451172
12,train,2751.255684,2752.828125,4973.039062,2752.828125,4973.039062,0.000000,4.952,2025-11-22T20:05:53+00:00,,
12,val,2715.872138,2717.483643,5126.853027,2717.483643,5126.853027,0.000000,,2025-11-22T20:05:53+00:00,2715.872138,2717.483643
13,train,2695.567118,2696.408447,4864.605469,2696.408447,4864.605469,0.000000,4.863,2025-11-22T20:05:58+00:00,,
13,val,2680.092165,2681.626953,5052.284180,2681.626953,5052.284180,0.000000,,2025-11-22T20:05:58+00:00,2680.092165,2681.626953
14,train,2644.577725,2645.271729,4761.157715,2645.271729,4761.157715,0.000000,4.819,2025-11-22T20:06:03+00:00,,
14,val,2649.726055,2651.636719,5005.092773,2651.636719,5005.092773,0.000000,,2025-11-22T20:06:03+00:00,2649.726055,2651.636719
15,train,2594.866685,2594.903320,4662.189941,2594.903320,4662.189941,0.000000,4.851,2025-11-22T20:06:07+00:00,,
15,val,2599.677430,2601.428467,4937.075684,2601.428467,4937.075684,0.000000,,2025-11-22T20:06:07+00:00,2599.677430,2601.428467
16,train,2549.708781,2550.239746,4584.389648,2550.239746,4584.389648,0.000000,4.770,2025-11-22T20:06:12+00:00,,
16,val,2574.047273,2575.944336,4878.515137,2575.944336,4878.515137,0.000000,,2025-11-22T20:06:12+00:00,2574.047273,2575.944336
17,train,2507.916162,2508.300537,4498.817871,2508.300537,4498.817871,0.000000,4.736,2025-11-22T20:06:17+00:00,,
17,val,2556.726318,2558.629639,4821.835938,2558.629639,4821.835938,0.000000,,2025-11-22T20:06:17+00:00,2556.726318,2558.629639
18,train,2468.868377,2468.809326,4418.460449,2468.809326,4418.460449,0.000000,4.689,2025-11-22T20:06:22+00:00,,
18,val,2559.857046,2561.786377,4812.562500,2561.786377,4812.562500,0.000000,,2025-11-22T20:06:22+00:00,2559.857046,2561.786377
19,train,2433.578070,2434.566406,4338.766602,2434.566406,4338.766602,0.000000,4.646,2025-11-22T20:06:26+00:00,,
19,val,2558.105653,2559.722168,4765.020508,2559.722168,4765.020508,0.000000,,2025-11-22T20:06:26+00:00,2558.105653,2559.722168
20,train,2396.881028,2397.138672,4267.685059,2397.138672,4267.685059,0.000000,4.747,2025-11-22T20:06:31+00:00,,
20,val,2490.226694,2491.739014,4708.017578,2491.739014,4708.017578,0.000000,,2025-11-22T20:06:31+00:00,2490.226694,2491.739014
21,train,2372.235399,2371.947266,4214.864258,2371.947266,4214.864258,0.000000,4.688,2025-11-22T20:06:36+00:00,,
21,val,2503.031870,2504.289307,4708.016602,2504.289307,4708.016602,0.000000,,2025-11-22T20:06:36+00:00,2503.031870,2504.289307
22,train,2342.119679,2343.370117,4157.179688,2343.370117,4157.179688,0.000000,4.746,2025-11-22T20:06:41+00:00,,
22,val,2469.946623,2471.735840,4666.251953,2471.735840,4666.251953,0.000000,,2025-11-22T20:06:41+00:00,2469.946623,2471.735840
23,train,2308.580559,2309.253906,4086.255615,2309.253906,4086.255615,0.000000,4.740,2025-11-22T20:06:45+00:00,,
23,val,2456.829428,2458.043457,4648.364258,2458.043457,4648.364258,0.000000,,2025-11-22T20:06:45+00:00,2456.829428,2458.043457
24,train,2285.500467,2286.322998,4044.614014,2286.322998,4044.614014,0.000000,4.694,2025-11-22T20:06:50+00:00,,
24,val,2468.647720,2470.117676,4642.502441,2470.117676,4642.502441,0.000000,,2025-11-22T20:06:50+00:00,2468.647720,2470.117676
25,train,2257.754772,2258.376953,3986.396484,2258.376953,3986.396484,0.000000,4.673,2025-11-22T20:06:55+00:00,,
25,val,2427.181958,2428.450439,4599.592285,2428.450439,4599.592285,0.000000,,2025-11-22T20:06:55+00:00,2427.181958,2428.450439
26,train,2230.393144,2230.086670,3942.001465,2230.086670,3942.001465,0.000000,4.653,2025-11-22T20:06:59+00:00,,
26,val,2409.010164,2410.460205,4597.377930,2410.460205,4597.377930,0.000000,,2025-11-22T20:06:59+00:00,2409.010164,2410.460205
27,train,2216.231291,2216.300293,3909.854492,2216.300293,3909.854492,0.000000,4.743,2025-11-22T20:07:04+00:00,,
27,val,2390.721789,2392.135498,4547.669434,2392.135498,4547.669434,0.000000,,2025-11-22T20:07:04+00:00,2390.721789,2392.135498
28,train,2184.072184,2185.189453,3847.340088,2185.189453,3847.340088,0.000000,4.735,2025-11-22T20:07:09+00:00,,
28,val,2434.809251,2436.021240,4566.038574,2436.021240,4566.038574,0.000000,,2025-11-22T20:07:09+00:00,2434.809251,2436.021240
29,train,2168.898336,2169.576416,3817.322510,2169.576416,3817.322510,0.000000,4.707,2025-11-22T20:07:13+00:00,,
29,val,2393.014983,2394.457520,4520.301758,2394.457520,4520.301758,0.000000,,2025-11-22T20:07:13+00:00,2393.014983,2394.457520
30,train,2146.427221,2147.100830,3769.324219,2147.100830,3769.324219,0.000000,4.742,2025-11-22T20:07:18+00:00,,
