[env] host=stud-000 date=Fri Nov 21 09:51:44 CET 2025
[env] RUN_DIR=/home/canelo/uncertainty_quantification/outputs/trainings/training_prune2_new_ds_base_point_20251120-1706/point_300_epochs_200ep_s1_20251121-095142
[model] in_dim=4772 hidden=[512, 512, 256] head=point params=2,840,577
[train] host=stud-000 device=cuda head=point epochs=300
[epoch 1] train_loss=17019.2613 val_loss=16819.1776 val_mae_orig=16817.4512 obj(val_mae_orig)=16817.4512
[epoch 2] train_loss=16863.0588 val_loss=16622.2645 val_mae_orig=16620.4785 obj(val_mae_orig)=16620.4785
[epoch 3] train_loss=16633.8975 val_loss=16374.5334 val_mae_orig=16372.7314 obj(val_mae_orig)=16372.7314
[epoch 4] train_loss=16365.3878 val_loss=16102.0984 val_mae_orig=16100.1572 obj(val_mae_orig)=16100.1572
[epoch 5] train_loss=16052.2331 val_loss=15764.2768 val_mae_orig=15762.4062 obj(val_mae_orig)=15762.4062
[epoch 6] train_loss=15690.2933 val_loss=15398.5727 val_mae_orig=15396.5654 obj(val_mae_orig)=15396.5654
[epoch 7] train_loss=15278.0489 val_loss=14964.8054 val_mae_orig=14962.8223 obj(val_mae_orig)=14962.8223
[epoch 8] train_loss=14819.0682 val_loss=14518.7968 val_mae_orig=14516.6738 obj(val_mae_orig)=14516.6738
[epoch 9] train_loss=14250.6667 val_loss=13897.4097 val_mae_orig=13895.2041 obj(val_mae_orig)=13895.2041
[epoch 10] train_loss=13637.6229 val_loss=13333.2497 val_mae_orig=13330.5596 obj(val_mae_orig)=13330.5596
[epoch 11] train_loss=12982.7022 val_loss=12692.1182 val_mae_orig=12689.7393 obj(val_mae_orig)=12689.7393
[epoch 12] train_loss=12252.1274 val_loss=12077.7178 val_mae_orig=12075.0029 obj(val_mae_orig)=12075.0029
[epoch 13] train_loss=11491.9947 val_loss=11301.2790 val_mae_orig=11298.7402 obj(val_mae_orig)=11298.7402
[epoch 14] train_loss=10663.8823 val_loss=10459.2508 val_mae_orig=10456.7910 obj(val_mae_orig)=10456.7910
[epoch 15] train_loss=9787.6833 val_loss=9662.8997 val_mae_orig=9660.1221 obj(val_mae_orig)=9660.1221
[epoch 16] train_loss=8871.4441 val_loss=8638.8649 val_mae_orig=8635.9785 obj(val_mae_orig)=8635.9785
[epoch 17] train_loss=7911.0485 val_loss=7728.1519 val_mae_orig=7725.4561 obj(val_mae_orig)=7725.4561
[epoch 18] train_loss=6934.5231 val_loss=6858.5311 val_mae_orig=6855.3374 obj(val_mae_orig)=6855.3374
[epoch 19] train_loss=5978.7467 val_loss=6107.0065 val_mae_orig=6103.0879 obj(val_mae_orig)=6103.0879
[epoch 20] train_loss=4930.4078 val_loss=4931.4763 val_mae_orig=4928.1689 obj(val_mae_orig)=4928.1689
[epoch 21] train_loss=3731.7786 val_loss=3859.3645 val_mae_orig=3856.5715 obj(val_mae_orig)=3856.5715
[epoch 22] train_loss=3050.6758 val_loss=3353.0251 val_mae_orig=3350.6938 obj(val_mae_orig)=3350.6938
[epoch 23] train_loss=2630.9008 val_loss=3041.9477 val_mae_orig=3039.8000 obj(val_mae_orig)=3039.8000
[epoch 24] train_loss=2416.3753 val_loss=2915.3636 val_mae_orig=2913.3987 obj(val_mae_orig)=2913.3987
[epoch 25] train_loss=2289.0951 val_loss=2840.6665 val_mae_orig=2838.4087 obj(val_mae_orig)=2838.4087
[epoch 26] train_loss=2210.5283 val_loss=2819.4997 val_mae_orig=2817.9832 obj(val_mae_orig)=2817.9832
[epoch 27] train_loss=2164.6943 val_loss=2792.2186 val_mae_orig=2790.3279 obj(val_mae_orig)=2790.3279
[epoch 28] train_loss=2117.6138 val_loss=2783.6381 val_mae_orig=2781.5500 obj(val_mae_orig)=2781.5500
[epoch 29] train_loss=2075.6782 val_loss=2744.9482 val_mae_orig=2742.0684 obj(val_mae_orig)=2742.0684
[epoch 30] train_loss=2051.9855 val_loss=2724.0599 val_mae_orig=2722.0947 obj(val_mae_orig)=2722.0947
[epoch 31] train_loss=2006.6584 val_loss=2707.6835 val_mae_orig=2705.2605 obj(val_mae_orig)=2705.2605
